Doc_name;Author;Title;Data;Topic;Ganra;Sub-ganra;Notes
file_01;Яків Головацький;Туга за Родиною;1835;Патріотична;поезія;;
file_02;Маркіян Шашкевич;О Наливайку;1835;Історична;поезія;;Справжній рік невідомий
file_03;Іларіон Грабович;Люби!;1895;Патріотична;поезія;;Справжній рік невідомий, видано у 1905
file_04;Михайло Грушевський;Майкл Роллі. З минулого. Район Рова Барський повіт;1896;Історична;рецензія;;
file_05;Лесь Мартович;Війт;1903;Соціальна;проза;;
file_06;Наталя Романович-Ткаченко;Богиня революції;1904;Художня;проза;;
file_07;Іван Франко;Сойчине крило;1905;Соціальна;проза;;
file_08;Катря Гриневич;Картина з мемуара;1916;Історична;спогади;;Не взято до уваги романів, бо вони наповнені давноруськими словами
file_09;Осип Назарук;Штука убоrих;1920;Історична;есе;;
file_10;Галина Мневська;Жовте;1922;Соціальна;проза;;
file_11;Василь Бобинський;Зелена зелина;1922;Художня;поезія;;Справжній рік невідомий
file_12;Микола Матіїв-Мельник;На чорній дорозі;1930;Соціальна;проза;;
file_13;Островерха Михайло;Гомін листя падучого;1932;Художня;поезія;;
file_14;Юрій Горліс-Горський;Отаман Хмара;1934;Історична;проза;Історичний роман;
file_15;Юрій Косач;Сентиментальна історійка;1934;Художня;проза;;Справжній рік невідомий
file_16;Володимир Гаврилюк;Етюд;1936;Художня;поезія;;
file_17;Іван Керницький;Король стрільців;1943;Історична;проза;п'єса;
file_18;Курдидик Ярослав;Побратими;1945;Історична;спогади;;
file_19;Юрій Шерех;Наша сучасність — наше мистецтво;1947;Історична;проза;;
file_20;Богдан Нижанківський;Небелиця про лютого царя, невільницю-красуню, страшну стоногу, відважного млинаря та чорного кота;1948;Жартівлива;поезія;;
file_21;Богдан Кварців;Миколі Зерову;1951;Художня;поезія;;
file_22;Михайло Петренко;Де Крим за Горами;1956;Соціальна;поезія;;
file_23;Михайло Горинь;Три Івани: Світличний, Дзюба, Драч;1962;Історична;проза;;
file_24;Роман Кудлик;Вишнева віхола;1968;Художня;поезія;;
file_25;Василь Софронів-Левицький;Проголошення Української Народної Республіки;1972;Історична;поезія;дума;
file_26;Грицько Чубай;Театр;1978;Художня;поезія;;Справжній рік невідомий
file_27;Юрій Винничук;Місце для дракона;1990;Історична;проза;повість-казка;
file_28;Віктор Неборака;Пісенька про пана Базя;1990;Футуристична;поезія;;
file_29;Ігор Калинець;Триптих для Алли Горської;1991;Художня;поезія;;
file_30;Микола Петренко;Осінь вийшла і вмерла;2000;Історична;проза;;
file_31;Григорій Сименчук;***;2008;Художня;поезія;;
file_32;Богдан Смоляк;Повернешся;2008;Художня;поезія;;
file_33;Дара Корній;Гонихмарник;2010;Художня;проза;роман;
file_34;Андрій Процайло;Привид безрукого ката;2013;Історична;проза;роман;